Sentence_Index,Tokens,Predicted_NER_Tags,Predicted_Negation
22,rubber,I-MATERIAL,True
22,seals,I-ATTRIBUTE,True
22,around,O,True
22,the,O,True
22,glass,I-MATERIAL,True
22,doors.,O,True
23,I,O,False
23,am,O,False
23,looking,O,False
23,at,O,False
23,the,O,False
23,"34""x34""",I-SIZE,False
23,shower,I-PRODUCT,False
23,kit,I-PRODUCT,False
23,with,O,False
23,"door,",I-ATTRIBUTE,False
23,"walls,",I-ATTRIBUTE,False
23,base,I-ATTRIBUTE,False
23,and,O,False
23,glass,I-MATERIAL,False
23,shelves.,I-ATTRIBUTE,False
24,Can,O,False
24,the,O,False
24,"2""",I-SIZE,False
24,"backsplash,",I-ATTRIBUTE,False
24,on,O,False
24,the,O,False
24,"60""",I-SIZE,False
24,single,I-PRODUCT,False
24,sink,I-PRODUCT,False
24,"countertop,",I-PRODUCT,False
24,be,O,False
24,removed?,O,False
24,Or,O,False
24,is,O,False
24,the,O,False
24,counter,I-PRODUCT,False
24,and,O,False
24,backsplash,I-ATTRIBUTE,False
24,one,O,False
24,piece?,O,False
24,If,O,False
24,"so,",O,False
24,do,O,False
24,you,O,False
24,have,O,False
24,a,O,False
24,single,I-PRODUCT,False
24,"sink,",I-PRODUCT,False
24,white,I-COLOUR,False
24,"60""",I-SIZE,False
24,vanity,I-PRODUCT,False
24,with,O,False
24,no,O,False
24,backsplash,I-ATTRIBUTE,True
24,piece?,I-ATTRIBUTE,True
25,We're,O,False
25,looking,O,False
25,for,O,False
25,a,O,False
25,60,I-SIZE,False
25,inch,I-SIZE,False
25,left,I-ATTRIBUTE,False
25,drain,I-ATTRIBUTE,False
25,alcove,I-ATTRIBUTE,False
25,tub,I-PRODUCT,False
25,which,O,False
25,is,O,False
25,a,O,False
25,soaker,I-ATTRIBUTE,False
25,tub,I-PRODUCT,False
25,with,O,False
25,no,O,False
25,more,O,True
25,than,O,True
25,"15""",I-SIZE,True
25,height.,I-SIZE,True
25,In,O,False
25,white.,O,False
26,just,O,False
26,need,O,False
26,glass,I-MATERIAL,False
26,doors,I-PRODUCT,False
26,no,O,False
26,end,I-ATTRIBUTE,True
26,glass,I-ATTRIBUTE,True
27,Do,O,False
27,you,O,False
27,have,O,False
27,Chrome,I-MATERIAL,False
27,column-style,I-SHAPE,False
27,showerhead,I-PRODUCT,False
27,with,O,False
27,body,I-ATTRIBUTE,False
27,jets,I-ATTRIBUTE,False
27,and,O,False
27,rain,I-ATTRIBUTE,False
27,showerhead,I-ATTRIBUTE,False
28,i,O,False
28,live,O,False
28,in,O,False
28,__location__,O,False
28,and,O,False
28,i,O,False
28,am,O,False
28,looking,O,False
28,for,O,False
28,an,O,False
28,acrylic,I-MATERIAL,False
28,(,O,False
28,preference,O,False
28,),O,False
28,or,O,False
28,fibreglass,I-MATERIAL,False
28,shower,I-PRODUCT,False
28,base.,I-PRODUCT,False
28,I,O,False
28,need,O,False
28,a,O,False
28,50,I-SIZE,False
28,inch,I-SIZE,False
28,wide,I-SIZE,False
28,by,O,False
28,34,I-SIZE,False
28,inch,I-SIZE,False
28,deep,I-SIZE,False
28,with,O,False
28,a,O,False
28,5,I-SIZE,False
28,inch,I-SIZE,False
28,single,I-ATTRIBUTE,False
28,threshold,I-ATTRIBUTE,False
29,Looking,O,False
29,for,O,False
29,a,O,False
29,tub/shower,I-PRODUCT,False
29,righthand,I-ATTRIBUTE,False
29,and,O,False
29,one,O,False
29,"lefthand,",I-ATTRIBUTE,False
29,what,O,False
29,are,O,False
29,my,O,False
29,options?,O,False
30,I,O,False
30,am,O,False
30,looking,O,False
30,for,O,False
30,a,O,False
30,freestanding,I-ATTRIBUTE,False
30,tub,I-PRODUCT,False
30,with,O,False
30,a,O,False
30,bathing,I-ATTRIBUTE,False
30,well,I-ATTRIBUTE,False
30,bottom,I-ATTRIBUTE,False
30,length,I-SIZE,False
30,of,I-SIZE,False
30,45,I-SIZE,False
30,inches,I-SIZE,False
30,minimum,O,False
31,I'm,O,False
31,looking,O,False
31,for,O,False
31,a,O,False
31,round,I-SHAPE,False
31,shower,I-PRODUCT,False
31,around,O,False
31,73,I-SIZE,False
31,inches,I-SIZE,False
31,high,I-SIZE,False
32,I'm,O,False
32,looking,O,False
32,to,O,False
32,buy,O,False
32,a,O,False
32,"42""",I-SIZE,False
32,gazebo,I-PRODUCT,False
32,with,O,False
32,no,O,False
32,more,O,True
32,than,O,True
32,"21""",I-SIZE,True
32,depth,I-SIZE,False
33,Do,O,False
33,you,O,False
33,have,O,False
33,shelves,I-PRODUCT,False
33,that,O,False
33,mount,O,False
33,to,O,False
33,a,O,False
33,"wall,",O,False
33,no,O,False
33,screw,I-ATTRIBUTE,True
33,30,I-SIZE,True
33,inches,I-SIZE,True
34,__brand__,I-PRODUCT,False
34,bathtub,I-PRODUCT,False
34,58,I-SIZE,False
34,in.,I-SIZE,False
34,x,O,False
34,5,I-SIZE,False
34,in.,I-SIZE,False
34,4-Jet,I-ATTRIBUTE,False
34,High,I-ATTRIBUTE,False
34,Pressure,I-ATTRIBUTE,False
34,Shower,I-PRODUCT,False
34,Panel,I-PRODUCT,False
34,System,I-PRODUCT,False
34,with,O,False
34,Square,I-ATTRIBUTE,False
34,Rain,I-ATTRIBUTE,False
34,Shower,I-ATTRIBUTE,False
34,Head,I-ATTRIBUTE,False
34,and,O,False
34,Tub,I-ATTRIBUTE,False
34,Filler,I-ATTRIBUTE,False
34,in,O,False
34,Matte,I-TEXTURE,False
34,Black,I-COLOUR,False
34,Model,O,False
35,"Yes,",O,False
35,I,O,False
35,bought,O,False
35,a,O,False
35,tub,I-PRODUCT,False
35,from,O,False
35,"you,",O,False
35,I,O,False
35,am,O,False
35,looking,O,False
35,for,O,False
35,a,O,False
35,adjustable,I-ATTRIBUTE,False
35,screw,I-PRODUCT,False
35,that,O,False
35,attaches,O,False
35,to,O,False
35,the,O,False
35,plug.,O,False
36,I'm,O,False
36,looking,O,False
36,for,O,False
36,a,O,False
36,60,I-SIZE,False
36,inch,I-SIZE,False
36,white,I-COLOUR,False
36,bathtub,I-PRODUCT,False
36,that,O,False
36,is,O,False
36,freestanding,I-ATTRIBUTE,False
36,and,O,False
36,reasonably,I-PRICE,False
36,priced,I-PRICE,False
37,i'm,O,False
37,looking,O,False
37,for,O,False
37,unflavored,I-ATTRIBUTE,False
37,mass,I-PRODUCT,False
37,gainer,I-PRODUCT,False
37,protein,I-PRODUCT,False
38,Do,O,False
38,you,O,False
38,have,O,False
38,a,O,False
38,wall,I-ATTRIBUTE,False
38,mount,I-ATTRIBUTE,False
38,sink,I-PRODUCT,False
38,without,O,False
38,a,O,True
38,faucet,I-ATTRIBUTE,True
38,hole,I-ATTRIBUTE,False
39,Just,O,False
39,shower,I-PRODUCT,False
39,base,I-PRODUCT,False
39,without,O,False
39,walls,I-ATTRIBUTE,True
40,I'm,O,False
40,looking,O,False
40,for,O,False
40,a,O,False
40,shower,I-PRODUCT,False
40,"unit,",I-PRODUCT,False
40,"60""",I-SIZE,False
40,wide,I-SIZE,False
40,by,O,False
40,"42""",I-SIZE,False
40,"deep,",I-SIZE,False
40,with,O,False
40,no,O,False
40,seat,I-ATTRIBUTE,True
40,and,O,False
40,no,O,False
40,top,I-ATTRIBUTE,False
41,luggage,I-PRODUCT,False
41,without,O,False
41,wheels,I-ATTRIBUTE,False
42,I,O,False
42,found,O,False
42,a,O,False
42,vanity,I-PRODUCT,False
42,top,I-PRODUCT,False
42,I,O,False
42,love,O,False
42,but,O,False
42,it,O,False
42,has,O,False
42,only,O,False
42,one,O,False
42,hole,O,False
42,for,O,False
42,taps,O,False
42,and,O,False
42,that,O,False
42,doesn't,O,False
42,suit,O,True
42,our,O,True
42,needs,O,True
43,curbless,I-ATTRIBUTE,False
43,shower,I-PRODUCT,False
44,Walk,I-ATTRIBUTE,False
44,in,I-ATTRIBUTE,False
44,tubs,I-PRODUCT,False
44,for,O,False
44,seniors,I-ATTRIBUTE,False
45,I,O,False
45,am,O,False
45,looking,O,False
45,for,O,False
45,a,O,False
45,shower,I-PRODUCT,False
45,door,I-PRODUCT,False
45,about,O,False
45,30,I-SIZE,False
45,inches,I-SIZE,False
46,I,O,False
46,need,O,False
46,a,O,False
46,toilet,I-PRODUCT,False
46,that,O,False
46,is,O,False
46,only,O,False
46,28,I-SIZE,False
46,inches,I-SIZE,False
46,high,I-SIZE,False
47,"Hi,",O,False
47,I,O,False
47,am,O,False
47,looking,O,False
47,for,O,False
47,bathroom,I-PRODUCT,False
47,LED,I-PRODUCT,False
47,mirrors,I-PRODUCT,False
47,that,O,False
47,are,O,False
47,24,I-SIZE,False
47,inch.,I-SIZE,False
47,That,O,False
47,are,O,False
47,hard,I-ATTRIBUTE,False
47,wired,I-ATTRIBUTE,False
47,and,O,False
47,can,O,False
47,be,O,False
47,turned,O,False
47,on,O,False
47,from,O,False
47,the,O,False
47,mirror,O,False
48,Denim,I-MATERIAL,False
48,skirts?,I-PRODUCT,False
49,touch,O,False
49,of,O,False
49,linen,I-MATERIAL,False
49,buttoned,I-ATTRIBUTE,False
49,skirt,I-PRODUCT,False
49,in,O,False
49,patterned,I-COLOUR,False
49,white,I-COLOUR,False
49,colour,I-COLOUR,False
50,Base,I-PRODUCT,False
50,cabinet,I-PRODUCT,False
50,42,I-SIZE,False
50,inches,I-SIZE,False
50,long,I-SIZE,False
51,Do,O,False
51,you,O,False
51,have,O,False
51,the,O,False
51,sweater,I-PRODUCT,False
51,in,O,False
51,medium?,I-SIZE,False
52,Hi.,O,False
52,Do,O,False
52,you,O,False
52,have,O,False
52,sheer,I-PRODUCT,False
52,curtains,I-PRODUCT,False
52,which,O,False
52,I,O,False
52,can,O,False
52,place,O,False
52,on,O,False
52,hooks,I-ATTRIBUTE,False
52,instead,O,False
52,of,O,False
52,a,O,False
52,rod,I-ATTRIBUTE,False
53,Looking,O,False
53,for,O,False
53,Grey,I-COLOUR,False
53,drapery,I-PRODUCT,False
53,panels,I-PRODUCT,False
53,10,I-SIZE,False
53,feet,I-SIZE,False
53,in,I-SIZE,False
53,length,I-SIZE,False
54,twik,O,False
54,white,I-COLOUR,False
54,sleeveless,I-ATTRIBUTE,False
54,button,I-ATTRIBUTE,False
54,closure,I-ATTRIBUTE,False
54,top,I-PRODUCT,False
55,Do,O,False
55,you,O,False
55,have,O,False
55,waterproof,I-ATTRIBUTE,False
55,queen,I-SIZE,False
55,size,I-SIZE,False
55,mattress,I-PRODUCT,False
55,protectors,I-PRODUCT,False
55,for,O,False
55,over,O,False
55,18,I-SIZE,False
55,inch,I-SIZE,False
55,mattresses?,O,False
56,Looking,O,False
56,for,O,False
56,Mercerized,O,False
56,cotton,I-MATERIAL,False
56,high-performance,I-ATTRIBUTE,False
56,T-shirt,I-PRODUCT,False
56,in,O,False
56,size,I-SIZE,False
56,medium,I-SIZE,False
57,Are,O,False
57,the,O,False
57,round,I-ATTRIBUTE,False
57,velvet,I-MATERIAL,False
57,floor,I-PRODUCT,False
57,cushions,I-PRODUCT,False
57,available,O,False
57,in,O,False
57,store?,O,False
58,I,O,False
58,would,O,False
58,like,O,False
58,the,O,False
58,sweater,I-PRODUCT,False
58,as,O,False
58,well,O,False
58,as,O,False
58,the,O,False
58,icons,I-PRODUCT,False
58,pencil,I-PRODUCT,False
58,skirt,I-PRODUCT,False
58,in,O,False
58,green,I-COLOUR,False
59,Sleeveless,I-ATTRIBUTE,False
59,sweater,I-PRODUCT,False
60,Unflavored,I-ATTRIBUTE,False
60,unsweetened,I-ATTRIBUTE,False
61,do,O,False
61,you,O,False
61,have,O,False
61,the,O,False
61,stainless,I-MATERIAL,False
61,steel,I-MATERIAL,False
61,shaker,I-PRODUCT,False
61,cups,I-PRODUCT,False
62,I,O,False
62,am,O,False
62,looking,O,False
62,for,O,False
62,flavor,I-PRODUCT,False
62,powders,I-PRODUCT,False
62,which,O,False
62,I,O,False
62,can,O,False
62,use,O,False
62,in,O,False
62,yoghurts,O,False
62,for,O,False
62,example,O,False
63,"Hi,",O,False
63,do,O,False
63,you,O,False
63,sell,O,False
63,fingerless,I-ATTRIBUTE,False
63,gloves,I-PRODUCT,False
63,please,I-PRODUCT,False
64,Need,O,False
64,an,O,False
64,inexpensive,I-PRICE,False
64,thermostatic,I-PRODUCT,False
64,shower,I-PRODUCT,False
64,set,I-PRODUCT,False
64,with,O,False
64,an,O,False
64,extra,I-ATTRIBUTE,False
64,outlet,I-ATTRIBUTE,False
64,for,O,False
64,bidet.,O,False
64,Can,O,False
64,you,O,False
64,suggest,O,False
64,a,O,False
64,couple.,O,False
65,"hi,",O,False
65,can,O,False
65,I,O,False
65,put,O,False
65,a,O,False
65,tankless,I-ATTRIBUTE,False
65,toilet,I-PRODUCT,False
65,into,O,False
65,a,O,False
65,"2""x",I-SIZE,False
65,"4""",I-SIZE,False
65,wall?,I-SIZE,False
66,I,O,False
66,am,O,False
66,looking,O,False
66,for,O,False
66,a,O,False
66,left,I-ATTRIBUTE,False
66,offset,I-ATTRIBUTE,False
66,vanity,I-PRODUCT,False
66,set,I-PRODUCT,False
66,up,O,False
66,to,O,False
66,48,I-SIZE,False
66,inches,I-SIZE,False
66,"wide,",I-SIZE,False
66,"white,",I-COLOUR,False
66,brushed,I-ATTRIBUTE,False
66,nickel,I-ATTRIBUTE,False
66,hardware,I-ATTRIBUTE,False
67,seamless,I-ATTRIBUTE,False
67,undermount,I-PRODUCT,False
68,Touchless,I-ATTRIBUTE,False
68,kitchen,I-PRODUCT,False
68,faucet,I-PRODUCT,False
69,Looking,O,False
69,for,O,False
69,bowl,I-PRODUCT,False
69,with,O,False
69,pattern,I-ATTRIBUTE,False
69,LESS,O,False
69,than,O,False
69,5,I-SIZE,False
69,inches,I-SIZE,False
69,deep.,I-SIZE,False
69,Can,O,False
69,be,O,False
69,7,I-SIZE,False
69,inches,I-SIZE,False
69,wide,I-SIZE,False
70,Looking,O,False
70,shower,I-PRODUCT,False
70,door,I-PRODUCT,False
70,frameless,I-ATTRIBUTE,False
70,of,O,False
70,60,I-SIZE,False
70,inch,I-SIZE,False
70,standing,I-ATTRIBUTE,False
70,shower,I-PRODUCT,False
71,Do,O,False
71,you,O,False
71,sell,O,False
71,beige,I-COLOUR,False
71,toilets.,I-PRODUCT,False
71,Bone,I-COLOUR,False
71,and,O,False
71,buscuit,I-COLOUR,False
71,are,O,False
71,too,O,False
71,light,O,False
71,in,O,False
71,colour,O,False
72,We're,O,False
72,looking,O,False
72,for,O,False
72,a,O,False
72,shower,I-PRODUCT,False
72,door,I-PRODUCT,False
72,set,I-PRODUCT,False
72,greater,O,False
72,than,O,False
72,70,I-SIZE,False
72,inches,I-SIZE,False
72,wide,I-SIZE,False
73,18,I-SIZE,False
73,inch,I-SIZE,False
73,deep,I-SIZE,False
73,by,O,False
73,36,I-SIZE,False
73,inches,I-SIZE,False
73,long,I-SIZE,False
73,brown,I-COLOUR,False
73,freestanding,I-ATTRIBUTE,False
73,vanity,I-PRODUCT,False
74,Looking,O,False
74,for,O,False
74,a,O,False
74,36,I-SIZE,False
74,inch,I-SIZE,False
74,vanity,I-PRODUCT,False
74,with,O,False
74,granite,I-MATERIAL,False
74,top,I-ATTRIBUTE,False
75,I,O,False
75,am,O,False
75,looking,O,False
75,for,O,False
75,bathroom,I-PRODUCT,False
75,mirrors,I-PRODUCT,False
75,black,I-COLOUR,False
75,framed,I-ATTRIBUTE,False
75,in,O,False
75,rectangular,I-SHAPE,False
75,and,O,False
75,oval,I-SHAPE,False
76,looking,O,False
76,at,O,False
76,36,I-SIZE,False
76,inch,I-SIZE,False
76,medicine,I-PRODUCT,False
76,cabinet,I-PRODUCT,False
76,for,O,False
76,$399,I-SIZE,False
76,.,O,False
76,is,O,False
76,it,O,False
76,recessed,O,False
76,able,O,False
76,to,O,False
76,fit,O,False
76,into,O,False
76,wall,I-ATTRIBUTE,False
76,as,O,False
76,a,O,False
76,flush,I-ATTRIBUTE,False
76,mount?,I-ATTRIBUTE,False
77,Vessel,I-PRODUCT,False
77,bag,I-PRODUCT,False
77,in,O,False
77,goldish,I-COLOUR,False
77,color,O,False
78,Looking,O,False
78,for,O,False
78,protein,I-PRODUCT,False
78,powder,I-PRODUCT,False
78,no,O,False
78,carb,I-ATTRIBUTE,True
78,no,O,False
78,suger,I-ATTRIBUTE,True
79,I,O,False
79,am,O,False
79,brand,O,False
79,new,O,False
79,to,O,False
79,fat,O,False
79,"burners,",O,False
79,I,O,False
79,want,O,False
79,to,O,False
79,know,O,False
79,a,O,False
79,good,O,False
79,fat,O,False
79,burner,O,False
79,to,O,False
79,see,O,False
79,good,O,False
79,results.,O,False
80,i,O,False
80,want,O,False
80,protein,I-PRODUCT,False
80,without,O,False
80,lactose,I-ATTRIBUTE,True
81,I'm,O,False
81,looking,O,False
81,for,O,False
81,whey,I-PRODUCT,False
81,proteine,I-PRODUCT,False
81,with,O,False
81,not,O,False
81,soy,I-ATTRIBUTE,True
81,in,O,True
81,it!,O,True
82,"Hi,",O,False
82,I,O,False
82,am,O,False
82,looking,O,False
82,for,O,False
82,a,O,False
82,whey,I-PRODUCT,False
82,protein,I-PRODUCT,False
82,with,O,False
82,not,O,False
82,"soy,",I-ATTRIBUTE,True
82,does,O,False
82,it,O,False
82,even,O,False
82,exist?,O,False
83,I'm,O,False
83,looking,O,False
83,for,O,False
83,a,O,False
83,supplement,I-PRODUCT,False
83,to,O,False
83,help,O,False
83,me,O,False
83,get,O,False
83,back,O,False
83,into,O,False
83,ketosis,I-ATTRIBUTE,False
83,",",O,False
83,but,O,False
83,not,O,False
83,a,O,True
83,pill.,I-ATTRIBUTE,True
83,Something,O,False
83,I,O,False
83,can,O,False
83,mix,O,True
83,in,O,False
83,my,O,False
83,water.,O,False
84,Looking,O,False
84,for,O,False
84,a,O,False
84,testosterone,I-PRODUCT,False
84,supplment,I-PRODUCT,False
84,and,O,False
84,I,O,False
84,have,O,False
84,no,O,False
84,idea,O,True
84,which,O,True
84,one,O,True
84,to,O,True
84,buy,O,True
85,"Hi,",O,False
85,I,O,False
85,would,O,False
85,like,O,False
