Sentence_Index,Tokens,Predicted_NER_Tags
20,side,I-ATTRIBUTE
20,panels.,I-ATTRIBUTE
20,41,I-SIZE
20,inches,I-SIZE
20,wide,I-SIZE
21,I'm,O
21,looking,O
21,for,O
21,a,O
21,double,I-ATTRIBUTE
21,sink,I-PRODUCT
21,kitchen,I-PRODUCT
21,close,O
21,to,O
21,52,I-SIZE
21,inches,I-SIZE
21,no,O
21,bigger,I-SIZE
21,with,O
21,countertop,I-ATTRIBUTE
22,I'm,O
22,looking,O
22,for,O
22,bypass,O
22,shower,I-PRODUCT
22,doors,I-PRODUCT
22,in,O
22,chrome,I-MATERIAL
22,with,O
22,clear,I-MATERIAL
22,glass.,I-MATERIAL
22,The,O
22,opening,O
22,would,O
22,be,O
22,for,O
22,a,O
22,"59""",I-SIZE
22,width,I-SIZE
22,and,O
22,the,O
22,height,I-SIZE
22,I'm,O
22,looking,O
22,for,O
22,is,O
22,"76"".",I-SIZE
22,I,O
22,don't,O
22,want,O
22,any,O
22,rubber,I-MATERIAL
22,seals,I-ATTRIBUTE
22,around,O
22,the,O
22,glass,I-MATERIAL
22,doors.,O
23,I,O
23,am,O
23,looking,O
23,at,O
23,the,O
23,"34""x34""",I-SIZE
23,shower,I-PRODUCT
23,kit,I-PRODUCT
23,with,O
23,"door,",I-ATTRIBUTE
23,"walls,",I-ATTRIBUTE
23,base,I-ATTRIBUTE
23,and,O
23,glass,I-MATERIAL
23,shelves.,I-ATTRIBUTE
24,Can,O
24,the,O
24,"2""",I-SIZE
24,"backsplash,",I-ATTRIBUTE
24,on,O
24,the,O
24,"60""",I-SIZE
24,single,I-PRODUCT
24,sink,I-PRODUCT
24,"countertop,",I-PRODUCT
24,be,O
24,removed?,O
24,Or,O
24,is,O
24,the,O
24,counter,I-PRODUCT
24,and,O
24,backsplash,I-ATTRIBUTE
24,one,O
24,piece?,O
24,If,O
24,"so,",O
24,do,O
24,you,O
24,have,O
24,a,O
24,single,I-PRODUCT
24,"sink,",I-PRODUCT
24,white,I-COLOUR
24,"60""",I-SIZE
24,vanity,I-PRODUCT
24,with,O
24,no,O
24,backsplash,I-ATTRIBUTE
24,piece?,I-ATTRIBUTE
25,We're,O
25,looking,O
25,for,O
25,a,O
25,60,I-SIZE
25,inch,I-SIZE
25,left,I-ATTRIBUTE
25,drain,I-ATTRIBUTE
25,alcove,I-ATTRIBUTE
25,tub,I-PRODUCT
25,which,O
25,is,O
25,a,O
25,soaker,I-ATTRIBUTE
25,tub,I-PRODUCT
25,with,O
25,no,O
25,more,O
25,than,O
25,"15""",I-SIZE
25,height.,I-SIZE
25,In,O
25,white.,O
26,just,O
26,need,O
26,glass,I-MATERIAL
26,doors,I-PRODUCT
26,no,O
26,end,I-ATTRIBUTE
26,glass,I-ATTRIBUTE
27,Do,O
27,you,O
27,have,O
27,Chrome,I-MATERIAL
27,column-style,I-SHAPE
27,showerhead,I-PRODUCT
27,with,O
27,body,I-ATTRIBUTE
27,jets,I-ATTRIBUTE
27,and,O
27,rain,I-ATTRIBUTE
27,showerhead,I-ATTRIBUTE
28,i,O
28,live,O
28,in,O
28,__location__,O
28,and,O
28,i,O
28,am,O
28,looking,O
28,for,O
28,an,O
28,acrylic,I-MATERIAL
28,(,O
28,preference,O
28,),O
28,or,O
28,fibreglass,I-MATERIAL
28,shower,I-PRODUCT
28,base.,I-PRODUCT
28,I,O
28,need,O
28,a,O
28,50,I-SIZE
28,inch,I-SIZE
28,wide,I-SIZE
28,by,O
28,34,I-SIZE
28,inch,I-SIZE
28,deep,I-SIZE
28,with,O
28,a,O
28,5,I-SIZE
28,inch,I-SIZE
28,single,I-ATTRIBUTE
28,threshold,I-ATTRIBUTE
29,Looking,O
29,for,O
29,a,O
29,tub/shower,I-PRODUCT
29,righthand,I-ATTRIBUTE
29,and,O
29,one,O
29,"lefthand,",I-ATTRIBUTE
29,what,O
29,are,O
29,my,O
29,options?,O
30,I,O
30,am,O
30,looking,O
30,for,O
30,a,O
30,freestanding,I-ATTRIBUTE
30,tub,I-PRODUCT
30,with,O
30,a,O
30,bathing,I-ATTRIBUTE
30,well,I-ATTRIBUTE
30,bottom,I-ATTRIBUTE
30,length,I-SIZE
30,of,I-SIZE
30,45,I-SIZE
30,inches,I-SIZE
30,minimum,O
31,I'm,O
31,looking,O
31,for,O
31,a,O
31,round,I-SHAPE
31,shower,I-PRODUCT
31,around,O
31,73,I-SIZE
31,inches,I-SIZE
31,high,I-SIZE
32,I'm,O
32,looking,O
32,to,O
32,buy,O
32,a,O
32,"42""",I-SIZE
32,gazebo,I-PRODUCT
32,with,O
32,no,O
32,more,O
32,than,O
32,"21""",I-SIZE
32,depth,I-SIZE
33,Do,O
33,you,O
33,have,O
33,shelves,I-PRODUCT
33,that,O
33,mount,O
33,to,O
33,a,O
33,"wall,",O
33,no,O
33,screw,I-ATTRIBUTE
33,30,I-SIZE
33,inches,I-SIZE
34,__brand__,I-PRODUCT
34,bathtub,I-PRODUCT
34,58,I-SIZE
34,in.,I-SIZE
34,x,O
34,5,I-SIZE
34,in.,I-SIZE
34,4-Jet,I-ATTRIBUTE
34,High,I-ATTRIBUTE
34,Pressure,I-ATTRIBUTE
34,Shower,I-PRODUCT
34,Panel,I-PRODUCT
34,System,I-PRODUCT
34,with,O
34,Square,I-ATTRIBUTE
34,Rain,I-ATTRIBUTE
34,Shower,I-ATTRIBUTE
34,Head,I-ATTRIBUTE
34,and,O
34,Tub,I-ATTRIBUTE
34,Filler,I-ATTRIBUTE
34,in,O
34,Matte,I-TEXTURE
34,Black,I-COLOUR
34,Model,O
35,"Yes,",O
35,I,O
35,bought,O
35,a,O
35,tub,I-PRODUCT
35,from,O
35,"you,",O
35,I,O
35,am,O
35,looking,O
35,for,O
35,a,O
35,adjustable,I-ATTRIBUTE
35,screw,I-PRODUCT
35,that,O
35,attaches,O
35,to,O
35,the,O
35,plug.,O
36,I'm,O
36,looking,O
36,for,O
36,a,O
36,60,I-SIZE
36,inch,I-SIZE
36,white,I-COLOUR
36,bathtub,I-PRODUCT
36,that,O
36,is,O
36,freestanding,I-ATTRIBUTE
36,and,O
36,reasonably,I-PRICE
36,priced,I-PRICE
37,i'm,O
37,looking,O
37,for,O
37,unflavored,I-ATTRIBUTE
37,mass,I-PRODUCT
37,gainer,I-PRODUCT
37,protein,I-PRODUCT
38,Do,O
38,you,O
38,have,O
38,a,O
38,wall,I-ATTRIBUTE
38,mount,I-ATTRIBUTE
38,sink,I-PRODUCT
38,without,O
38,a,O
38,faucet,I-ATTRIBUTE
38,hole,I-ATTRIBUTE
39,Just,O
39,shower,I-PRODUCT
39,base,I-PRODUCT
39,without,O
39,walls,I-ATTRIBUTE
40,I'm,O
40,looking,O
40,for,O
40,a,O
40,shower,I-PRODUCT
40,"unit,",I-PRODUCT
40,"60""",I-SIZE
40,wide,I-SIZE
40,by,O
40,"42""",I-SIZE
40,"deep,",I-SIZE
40,with,O
40,no,O
40,seat,I-ATTRIBUTE
40,and,O
40,no,O
40,top,I-ATTRIBUTE
41,luggage,I-PRODUCT
41,without,O
41,wheels,I-ATTRIBUTE
42,I,O
42,found,O
42,a,O
42,vanity,I-PRODUCT
42,top,I-PRODUCT
42,I,O
42,love,O
42,but,O
42,it,O
42,has,O
42,only,O
42,one,O
42,hole,O
42,for,O
42,taps,O
42,and,O
42,that,O
42,doesn't,O
42,suit,O
42,our,O
42,needs,O
43,curbless,I-ATTRIBUTE
43,shower,I-PRODUCT
44,Walk,I-ATTRIBUTE
44,in,I-ATTRIBUTE
44,tubs,I-PRODUCT
44,for,O
44,seniors,I-ATTRIBUTE
45,I,O
45,am,O
45,looking,O
45,for,O
45,a,O
45,shower,I-PRODUCT
45,door,I-PRODUCT
45,about,O
45,30,I-SIZE
45,inches,I-SIZE
46,I,O
46,need,O
46,a,O
46,toilet,I-PRODUCT
46,that,O
46,is,O
46,only,O
46,28,I-SIZE
46,inches,I-SIZE
46,high,I-SIZE
47,"Hi,",O
47,I,O
47,am,O
47,looking,O
47,for,O
47,bathroom,I-PRODUCT
47,LED,I-PRODUCT
47,mirrors,I-PRODUCT
47,that,O
47,are,O
47,24,I-SIZE
47,inch.,I-SIZE
47,That,O
47,are,O
47,hard,I-ATTRIBUTE
47,wired,I-ATTRIBUTE
47,and,O
47,can,O
47,be,O
47,turned,O
47,on,O
47,from,O
47,the,O
47,mirror,O
48,Denim,I-MATERIAL
48,skirts?,I-PRODUCT
49,touch,O
49,of,O
49,linen,I-MATERIAL
49,buttoned,I-ATTRIBUTE
49,skirt,I-PRODUCT
49,in,O
49,patterned,I-COLOUR
49,white,I-COLOUR
49,colour,I-COLOUR
50,Base,I-PRODUCT
50,cabinet,I-PRODUCT
50,42,I-SIZE
50,inches,I-SIZE
50,long,I-SIZE
51,Do,O
51,you,O
51,have,O
51,the,O
51,sweater,I-PRODUCT
51,in,O
51,medium?,I-SIZE
52,Hi.,O
52,Do,O
52,you,O
52,have,O
52,sheer,I-PRODUCT
52,curtains,I-PRODUCT
52,which,O
52,I,O
52,can,O
52,place,O
52,on,O
52,hooks,I-ATTRIBUTE
52,instead,O
52,of,O
52,a,O
52,rod,I-ATTRIBUTE
53,Looking,O
53,for,O
53,Grey,I-COLOUR
53,drapery,I-PRODUCT
53,panels,I-PRODUCT
53,10,I-SIZE
53,feet,I-SIZE
53,in,I-SIZE
53,length,I-SIZE
54,twik,O
54,white,I-COLOUR
54,sleeveless,I-ATTRIBUTE
54,button,I-ATTRIBUTE
54,closure,I-ATTRIBUTE
54,top,I-PRODUCT
55,Do,O
55,you,O
55,have,O
55,waterproof,I-ATTRIBUTE
55,queen,I-SIZE
55,size,I-SIZE
55,mattress,I-PRODUCT
55,protectors,I-PRODUCT
55,for,O
55,over,O
55,18,I-SIZE
55,inch,I-SIZE
55,mattresses?,O
56,Looking,O
56,for,O
56,Mercerized,O
56,cotton,I-MATERIAL
56,high-performance,I-ATTRIBUTE
56,T-shirt,I-PRODUCT
56,in,O
56,size,I-SIZE
56,medium,I-SIZE
57,Are,O
57,the,O
57,round,I-ATTRIBUTE
57,velvet,I-MATERIAL
57,floor,I-PRODUCT
57,cushions,I-PRODUCT
57,available,O
57,in,O
57,store?,O
58,I,O
58,would,O
58,like,O
58,the,O
58,sweater,I-PRODUCT
58,as,O
58,well,O
58,as,O
58,the,O
58,icons,I-PRODUCT
58,pencil,I-PRODUCT
58,skirt,I-PRODUCT
58,in,O
58,green,I-COLOUR
59,Sleeveless,I-ATTRIBUTE
59,sweater,I-PRODUCT
60,Unflavored,I-ATTRIBUTE
60,unsweetened,I-ATTRIBUTE
61,do,O
61,you,O
61,have,O
61,the,O
61,stainless,I-MATERIAL
61,steel,I-MATERIAL
61,shaker,I-PRODUCT
61,cups,I-PRODUCT
62,I,O
62,am,O
62,looking,O
62,for,O
62,flavor,I-PRODUCT
62,powders,I-PRODUCT
62,which,O
62,I,O
62,can,O
62,use,O
62,in,O
62,yoghurts,O
62,for,O
62,example,O
63,"Hi,",O
63,do,O
63,you,O
63,sell,O
63,fingerless,I-ATTRIBUTE
63,gloves,I-PRODUCT
63,please,I-PRODUCT
64,Need,O
64,an,O
64,inexpensive,I-PRICE
64,thermostatic,I-PRODUCT
64,shower,I-PRODUCT
64,set,I-PRODUCT
64,with,O
64,an,O
64,extra,I-ATTRIBUTE
64,outlet,I-ATTRIBUTE
64,for,O
64,bidet.,O
64,Can,O
64,you,O
64,suggest,O
64,a,O
64,couple.,O
65,"hi,",O
65,can,O
65,I,O
65,put,O
65,a,O
65,tankless,I-ATTRIBUTE
65,toilet,I-PRODUCT
65,into,O
65,a,O
65,"2""x",I-SIZE
65,"4""",I-SIZE
65,wall?,I-SIZE
66,I,O
66,am,O
66,looking,O
66,for,O
66,a,O
66,left,I-ATTRIBUTE
66,offset,I-ATTRIBUTE
66,vanity,I-PRODUCT
66,set,I-PRODUCT
66,up,O
66,to,O
66,48,I-SIZE
66,inches,I-SIZE
66,"wide,",I-SIZE
66,"white,",I-COLOUR
66,brushed,I-ATTRIBUTE
66,nickel,I-ATTRIBUTE
66,hardware,I-ATTRIBUTE
67,seamless,I-ATTRIBUTE
67,undermount,I-PRODUCT
68,Touchless,I-ATTRIBUTE
68,kitchen,I-PRODUCT
68,faucet,I-PRODUCT
69,Looking,O
69,for,O
69,bowl,I-PRODUCT
69,with,O
69,pattern,I-ATTRIBUTE
69,LESS,O
69,than,O
69,5,I-SIZE
69,inches,I-SIZE
69,deep.,I-SIZE
69,Can,O
69,be,O
69,7,I-SIZE
69,inches,I-SIZE
69,wide,I-SIZE
70,Looking,O
70,shower,I-PRODUCT
70,door,I-PRODUCT
70,frameless,I-ATTRIBUTE
70,of,O
70,60,I-SIZE
70,inch,I-SIZE
70,standing,I-ATTRIBUTE
70,shower,I-PRODUCT
71,Do,O
71,you,O
71,sell,O
71,beige,I-COLOUR
71,toilets.,I-PRODUCT
71,Bone,I-COLOUR
71,and,O
71,buscuit,I-COLOUR
71,are,O
71,too,O
71,light,O
71,in,O
71,colour,O
72,We're,O
72,looking,O
72,for,O
72,a,O
72,shower,I-PRODUCT
72,door,I-PRODUCT
72,set,I-PRODUCT
72,greater,O
72,than,O
72,70,I-SIZE
72,inches,I-SIZE
72,wide,I-SIZE
73,18,I-SIZE
73,inch,I-SIZE
73,deep,I-SIZE
73,by,O
73,36,I-SIZE
73,inches,I-SIZE
73,long,I-SIZE
73,brown,I-COLOUR
73,freestanding,I-ATTRIBUTE
73,vanity,I-PRODUCT
74,Looking,O
74,for,O
74,a,O
74,36,I-SIZE
74,inch,I-SIZE
74,vanity,I-PRODUCT
74,with,O
74,granite,I-MATERIAL
74,top,I-ATTRIBUTE
75,I,O
75,am,O
75,looking,O
75,for,O
75,bathroom,I-PRODUCT
75,mirrors,I-PRODUCT
75,black,I-COLOUR
75,framed,I-ATTRIBUTE
75,in,O
75,rectangular,I-SHAPE
75,and,O
75,oval,I-SHAPE
76,looking,O
76,at,O
76,36,I-SIZE
76,inch,I-SIZE
76,medicine,I-PRODUCT
76,cabinet,I-PRODUCT
76,for,O
76,$399,I-SIZE
76,.,O
76,is,O
76,it,O
76,recessed,O
76,able,O
76,to,O
76,fit,O
76,into,O
76,wall,I-ATTRIBUTE
76,as,O
76,a,O
76,flush,I-ATTRIBUTE
76,mount?,I-ATTRIBUTE
77,Vessel,I-PRODUCT
77,bag,I-PRODUCT
77,in,O
77,goldish,I-COLOUR
77,color,O
78,Looking,O
78,for,O
78,protein,I-PRODUCT
78,powder,I-PRODUCT
78,no,O
78,carb,I-ATTRIBUTE
78,no,O
78,suger,I-ATTRIBUTE
79,I,O
79,am,O
79,brand,O
79,new,O
79,to,O
79,fat,O
79,"burners,",O
79,I,O
79,want,O
79,to,O
79,know,O
79,a,O
79,good,O
79,fat,O
79,burner,O
79,to,O
79,see,O
79,good,O
79,results.,O
80,i,O
80,want,O
80,protein,I-PRODUCT
80,without,O
80,lactose,I-ATTRIBUTE
81,I'm,O
81,looking,O
81,for,O
81,whey,I-PRODUCT
81,proteine,I-PRODUCT
81,with,O
81,not,O
81,soy,I-ATTRIBUTE
81,in,O
81,it!,O
82,"Hi,",O
82,I,O
82,am,O
82,looking,O
82,for,O
82,a,O
82,whey,I-PRODUCT
82,protein,I-PRODUCT
82,with,O
82,not,O
82,"soy,",I-ATTRIBUTE
82,does,O
82,it,O
82,even,O
82,exist?,O
83,I'm,O
83,looking,O
83,for,O
83,a,O
83,supplement,I-PRODUCT
83,to,O
83,help,O
83,me,O
83,get,O
83,back,O
83,into,O
83,ketosis,I-ATTRIBUTE
83,",",O
83,but,O
83,not,O
83,a,O
83,pill.,I-ATTRIBUTE
83,Something,O
83,I,O
83,can,O
83,mix,O
83,in,O
83,my,O
83,water.,O
84,Looking,O
84,for,O
84,a,O
84,testosterone,I-PRODUCT
84,supplment,I-PRODUCT
84,and,O
84,I,O
84,have,O
84,no,O
84,idea,O
84,which,O
84,one,O
84,to,O
84,buy,O
85,"Hi,",O
85,I,O
85,would,O
85,like,O
85,to,O
85,have,O
85,a,O
85,protein,I-PRODUCT
85,powder,I-PRODUCT
85,without,O
85,caffeine,I-ATTRIBUTE
86,i,O
86,am,O
86,looking,O
86,for,O
86,a,O
86,very,O
86,good,O
86,fat,I-PRODUCT
86,burner,I-PRODUCT
86,thats,O
86,not,O
86,too,O
86,heavy,I-ATTRIBUTE
86,in,I-ATTRIBUTE
86,stimulants.,I-ATTRIBUTE
87,I,O
87,saw,O
87,a,O
87,sweater,I-PRODUCT
87,block,I-PRODUCT
87,with,O
87,multi,I-COLOUR
87,colour,I-COLOUR
87,yesterday.,O
87,I,O
87,wish,O
87,to,O
87,order,O
87,and,O
87,now,O
87,can't,O
87,find..,O
88,I'm,O
88,looking,O
88,for,O
88,a,O
88,polo,I-PRODUCT
88,shirt,I-PRODUCT
88,with,O
88,no,O
88,logo,I-ATTRIBUTE
88,on,O
88,it.,O
89,Hi,O
89,looking,O
89,for,O
89,the,O
89,toque,I-PRODUCT
89,and,O
89,neck,I-ATTRIBUTE
89,tube,I-ATTRIBUTE
89,displayed,I-ATTRIBUTE
89,in,O
89,the,O
89,woman's,I-ATTRIBUTE
89,ski,I-ATTRIBUTE
89,jacket,I-PRODUCT
89,the,O
89,jacket,I-PRODUCT
89,color,I-PRODUCT
89,that,O
89,is,O
89,light,O
89,blue,O
89,and,O
89,green,O
89,",",O
89,the,O
89,tuque,O
89,and,O
89,neck,O
89,tube,O
89,is,O
89,a,O
89,dusty,O
89,pink,O
89,sort,O
89,of,O
89,"color,",O
89,I,O
89,can't,O
89,find,O
89,it,O
89,anywhere,O
89,on,O
89,sight,O
89,i,O
89,see,O
89,simiar,O
89,items,O
89,but,O
89,want,O
89,a,O
89,matching,O
89,set,O
90,I,O
90,am,O
90,looking,O
90,for,O
90,a,O
90,bomber,I-ATTRIBUTE
90,style,I-ATTRIBUTE
90,jacket,I-PRODUCT
90,2,I-SIZE
90,XS,I-SIZE
90,no,O
90,hoody,I-ATTRIBUTE
90,",",O
90,and,O
90,black,O
91,Women's,I-ATTRIBUTE
91,pyjama,I-PRODUCT
91,pants,I-PRODUCT
91,without,O
91,waistband,I-ATTRIBUTE
92,Good,O
92,morning,O
92,I,O
92,am,O
92,looking,O
92,for,O
92,a,O
92,puffer,I-PRODUCT
92,vest,I-PRODUCT
92,three-quarter,I-SIZE
92,length,I-SIZE
92,I've,O
92,seen,O
92,them,O
92,On,O
92,the,O
92,website,O
92,but,O
92,no,O
92,longer,O
92,there,O
93,Good,O
93,"morning,",O
93,I,O
93,would,O
93,like,O
93,to,O
93,buy,O
93,the,O
93,product,I-PRODUCT
93,"below,",O
93,size,I-SIZE
93,M:,I-SIZE
93,How,O
93,can,O
93,I,O
93,proceed,O
93,with,O
93,this,O
93,purchase?,O
93,It,O
93,doesn't,O
93,seem,O
93,to,O
93,be,O
93,available,O
93,at,O
93,the,O
93,moment,O
94,Want,O
94,to,O
94,order,O
94,Women's,I-ATTRIBUTE
94,warm,I-ATTRIBUTE
94,waterproof,I-ATTRIBUTE
94,snow,I-PRODUCT
94,boots,I-PRODUCT
94,in,O
94,size,I-SIZE
94,8,I-SIZE
94,.,O
94,Doesn't,O
94,say,O
94,out,O
94,of,O
94,stock,O
94,but,O
94,can't,O
94,put,O
94,order,O
94,in.,O
94,Please,O
94,advise.,O
95,"Hi,",O
95,I'm,O
95,interested,O
95,in,O
95,the,O
95,women's,I-ATTRIBUTE
95,waterproof,I-ATTRIBUTE
95,mountain,I-PRODUCT
95,walking,I-PRODUCT
95,jacket,I-PRODUCT
95,in,O
95,green,I-COLOUR
95,but,O
95,the,O
95,website,O
95,only,O
95,gives,O
95,the,O
95,option,O
95,for,O
95,size,I-SIZE
95,XS,I-SIZE
95,and,O
95,does,O
95,not,O
95,allow,O
95,to,O
95,request,O
95,a,O
95,notification,I-ATTRIBUTE
96,Hi,O
96,I'm,O
96,looking,O
96,to,O
96,buy,O
96,this,O
96,but,O
96,I,O
96,cannot,O
96,find,O
96,an,O
96,22,I-SIZE
96,mm,I-SIZE
96,nozzle,I-PRODUCT
96,pump,I-PRODUCT
96,"anywhere,",O
96,do,O
96,you,O
96,have,O
96,one,O
96,on,O
96,your,O
96,site,O
96,or,O
96,know,O
96,where,O
96,I,O
96,can,O
96,get,O
96,one?,O
96,Thanks,O
97,Pool,I-PRODUCT
97,cue,I-PRODUCT
97,cases,I-PRODUCT
97,not,O
97,pool,I-PRODUCT
97,cues,I-PRODUCT
98,Looking,O
98,to,O
98,buy,O
98,hiking,I-PRODUCT
98,trousers,I-PRODUCT
98,but,O
98,don't,O
98,understand,O
98,sizes.,O
98,I,O
98,am,O
98,38in,I-SIZE
98,waist,I-SIZE
98,and,O
98,29in,I-SIZE
98,leg.,I-SIZE
98,Looking,O
98,to,O
98,buy,O
98,trekking,I-PRODUCT
98,trousers,I-PRODUCT
