and	-X-	_	O
need	-X-	_	O
a	-X-	_	O
blanket	-X-	_	B-PRODUCT
that	-X-	_	O
will	-X-	_	O
not	-X-	_	O
irritate	-X-	_	O
me.	-X-	_	O
Thanks.	-X-	_	O
			
Long	-X-	_	B-SIZE
Sherpa	-X-	_	B-PRODUCT
jacket	-X-	_	I-PRODUCT
dark	-X-	_	B-COLOUR
brown	-X-	_	I-COLOUR
why	-X-	_	O
can't	-X-	_	O
I	-X-	_	O
find	-X-	_	O
it?	-X-	_	O
			
Hello.	-X-	_	O
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
soft	-X-	_	B-TEXTURE
Open	-X-	_	B-ATTRIBUTE
face	-X-	_	I-ATTRIBUTE
cardigan	-X-	_	B-PRODUCT
w	-X-	_	O
no	-X-	_	O
buttons.	-X-	_	B-N-ATTRIBUTE
			
hi	-X-	_	O
do	-X-	_	O
you	-X-	_	O
carry	-X-	_	O
any	-X-	_	O
oval	-X-	_	B-SHAPE
tubs	-X-	_	B-PRODUCT
in	-X-	_	O
a	-X-	_	O
matte	-X-	_	B-TEXTURE
white	-X-	_	B-COLOUR
finish	-X-	_	O
or	-X-	_	O
not	-X-	_	O
too	-X-	_	O
much	-X-	_	O
of	-X-	_	O
gloss?	-X-	_	B-N-TEXTURE
i	-X-	_	O
know	-X-	_	O
they	-X-	_	O
make	-X-	_	O
solid	-X-	_	O
surface	-X-	_	O
but	-X-	_	O
higher	-X-	_	B-PRICE
prices.	-X-	_	I-PRICE
thank	-X-	_	O
you	-X-	_	O
			
Do	-X-	_	O
you	-X-	_	O
not	-X-	_	O
have	-X-	_	O
alcove	-X-	_	B-ATTRIBUTE
shower	-X-	_	B-PRODUCT
walls?	-X-	_	I-PRODUCT
			
Hi	-X-	_	O
I'm	-X-	_	O
considering	-X-	_	O
a	-X-	_	O
bathtub	-X-	_	B-PRODUCT
swivel	-X-	_	I-PRODUCT
panel.	-X-	_	I-PRODUCT
I	-X-	_	O
assume	-X-	_	O
it	-X-	_	O
doesn't	-X-	_	O
matter	-X-	_	O
which	-X-	_	O
way	-X-	_	O
the	-X-	_	O
bathtub	-X-	_	B-PRODUCT
is	-X-	_	O
facing?	-X-	_	O
			
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
alcove	-X-	_	B-ATTRIBUTE
shower	-X-	_	B-PRODUCT
base	-X-	_	I-PRODUCT
.	-X-	_	O
not	-X-	_	O
so	-X-	_	O
much	-X-	_	O
$	-X-	_	O
lol	-X-	_	O
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
a	-X-	_	O
vanity	-X-	_	B-PRODUCT
tops	-X-	_	I-PRODUCT
or	-X-	_	O
wall	-X-	_	B-ATTRIBUTE
mount	-X-	_	I-ATTRIBUTE
sink	-X-	_	B-PRODUCT
without	-X-	_	O
faucet	-X-	_	B-N-ATTRIBUTE
holes?	-X-	_	I-N-ATTRIBUTE
			
Hi!!	-X-	_	O
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
60"	-X-	_	B-SIZE
wide	-X-	_	I-SIZE
tub	-X-	_	B-PRODUCT
but	-X-	_	O
a	-X-	_	O
soaker	-X-	_	B-ATTRIBUTE
type	-X-	_	I-ATTRIBUTE
thats	-X-	_	O
deeper	-X-	_	B-ATTRIBUTE
than	-X-	_	O
a	-X-	_	O
regular	-X-	_	B-N-PRODUCT
tub	-X-	_	I-N-PRODUCT
do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
this	-X-	_	O
type?	-X-	_	O
I	-X-	_	O
don't	-X-	_	O
see	-X-	_	O
anything	-X-	_	O
deep	-X-	_	O
enough	-X-	_	O
on	-X-	_	O
your	-X-	_	O
site	-X-	_	O
			
Ok	-X-	_	O
thanks.	-X-	_	O
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
pure	-X-	_	B-COLOUR
white	-X-	_	I-COLOUR
alcove	-X-	_	B-ATTRIBUTE
bathtub,	-X-	_	B-PRODUCT
not	-X-	_	O
American	-X-	_	B-ATTRIBUTE
standard	-X-	_	I-ATTRIBUTE
or	-X-	_	O
any	-X-	_	O
off	-X-	_	B-N-COLOUR
whites.	-X-	_	I-N-COLOUR
Is	-X-	_	O
there	-X-	_	O
one	-X-	_	O
you	-X-	_	O
could	-X-	_	O
recommend	-X-	_	O
			
Hi,	-X-	_	O
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
a	-X-	_	O
navy	-X-	_	B-COLOUR
mirror	-X-	_	B-PRODUCT
size	-X-	_	O
60x31.	-X-	_	B-SIZE
You	-X-	_	O
have	-X-	_	O
it	-X-	_	O
for	-X-	_	O
the	-X-	_	O
gold	-X-	_	B-N-COLOUR
and	-X-	_	O
black	-X-	_	B-N-COLOUR
but	-X-	_	O
i	-X-	_	O
don't	-X-	_	O
want	-X-	_	O
it	-X-	_	O
for	-X-	_	O
the	-X-	_	O
navy.	-X-	_	B-COLOUR
			
Hi,	-X-	_	O
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
floating	-X-	_	B-ATTRIBUTE
vanity	-X-	_	B-PRODUCT
with	-X-	_	O
integrated	-X-	_	B-ATTRIBUTE
sink	-X-	_	I-ATTRIBUTE
&	-X-	_	O
counter	-X-	_	B-ATTRIBUTE
top	-X-	_	I-ATTRIBUTE
with	-X-	_	O
no	-X-	_	O
drill	-X-	_	B-N-ATTRIBUTE
holes	-X-	_	I-N-ATTRIBUTE
for	-X-	_	O
the	-X-	_	O
faucet	-X-	_	B-ATTRIBUTE
as	-X-	_	O
our	-X-	_	O
faucets	-X-	_	B-ATTRIBUTE
are	-X-	_	O
wall	-X-	_	B-ATTRIBUTE
mounted.	-X-	_	I-ATTRIBUTE
Do	-X-	_	O
you	-X-	_	O
sell	-X-	_	O
theM	-X-	_	O
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
soaker	-X-	_	B-ATTRIBUTE
tub	-X-	_	B-PRODUCT
but	-X-	_	O
do	-X-	_	O
not	-X-	_	O
want	-X-	_	O
stand	-X-	_	B-N-ATTRIBUTE
alone.	-X-	_	I-N-ATTRIBUTE
I	-X-	_	O
am	-X-	_	O
replacing	-X-	_	O
my	-X-	_	O
oval	-X-	_	B-N-SHAPE
jacuzzi	-X-	_	B-N-PRODUCT
			
Where	-X-	_	O
is	-X-	_	O
the	-X-	_	O
mirror	-X-	_	B-PRODUCT
on	-X-	_	O
here.	-X-	_	O
I	-X-	_	O
don't	-X-	_	O
want	-X-	_	O
linen	-X-	_	B-N-MATERIAL
cabinet	-X-	_	B-N-PRODUCT
			
Hello,	-X-	_	O
I	-X-	_	O
need	-X-	_	O
a	-X-	_	O
standup	-X-	_	B-ATTRIBUTE
shower	-X-	_	B-PRODUCT
door	-X-	_	I-PRODUCT
only,	-X-	_	O
no	-X-	_	O
side	-X-	_	B-N-ATTRIBUTE
panels.	-X-	_	I-N-ATTRIBUTE
41	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
wide	-X-	_	I-SIZE
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
double	-X-	_	B-ATTRIBUTE
sink	-X-	_	B-PRODUCT
kitchen	-X-	_	I-PRODUCT
close	-X-	_	O
to	-X-	_	O
52	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
no	-X-	_	O
bigger	-X-	_	B-N-SIZE
with	-X-	_	O
countertop	-X-	_	B-ATTRIBUTE
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
bypass	-X-	_	O
shower	-X-	_	B-PRODUCT
doors	-X-	_	I-PRODUCT
in	-X-	_	O
chrome	-X-	_	B-MATERIAL
with	-X-	_	O
clear	-X-	_	B-MATERIAL
glass.	-X-	_	I-MATERIAL
The	-X-	_	O
opening	-X-	_	O
would	-X-	_	O
be	-X-	_	O
for	-X-	_	O
a	-X-	_	O
59"	-X-	_	B-SIZE
width	-X-	_	I-SIZE
and	-X-	_	O
the	-X-	_	O
height	-X-	_	B-SIZE
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
is	-X-	_	O
76".	-X-	_	B-SIZE
I	-X-	_	O
don't	-X-	_	O
want	-X-	_	O
any	-X-	_	O
rubber	-X-	_	B-N-MATERIAL
seals	-X-	_	B-N-ATTRIBUTE
around	-X-	_	O
the	-X-	_	O
glass	-X-	_	B-MATERIAL
doors.	-X-	_	B-PRODUCT
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
at	-X-	_	O
the	-X-	_	O
34"x34"	-X-	_	B-SIZE
shower	-X-	_	B-PRODUCT
kit	-X-	_	I-PRODUCT
with	-X-	_	O
door,	-X-	_	B-ATTRIBUTE
walls,	-X-	_	B-ATTRIBUTE
base	-X-	_	B-ATTRIBUTE
and	-X-	_	O
glass	-X-	_	B-MATERIAL
shelves.	-X-	_	B-ATTRIBUTE
			
Can	-X-	_	O
the	-X-	_	O
2"	-X-	_	B-N-SIZE
backsplash,	-X-	_	B-N-ATTRIBUTE
on	-X-	_	O
the	-X-	_	O
60"	-X-	_	B-SIZE
single	-X-	_	B-PRODUCT
sink	-X-	_	I-PRODUCT
countertop,	-X-	_	I-PRODUCT
be	-X-	_	O
removed?	-X-	_	O
Or	-X-	_	O
is	-X-	_	O
the	-X-	_	O
counter	-X-	_	B-PRODUCT
and	-X-	_	O
backsplash	-X-	_	B-ATTRIBUTE
one	-X-	_	O
piece?	-X-	_	O
If	-X-	_	O
so,	-X-	_	O
do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
a	-X-	_	O
single	-X-	_	B-PRODUCT
sink,	-X-	_	I-PRODUCT
white	-X-	_	B-COLOUR
60"	-X-	_	B-SIZE
vanity	-X-	_	B-PRODUCT
with	-X-	_	O
no	-X-	_	O
backsplash	-X-	_	B-N-ATTRIBUTE
piece?	-X-	_	I-N-ATTRIBUTE
			
We're	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
60	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
left	-X-	_	B-ATTRIBUTE
drain	-X-	_	I-ATTRIBUTE
alcove	-X-	_	B-ATTRIBUTE
tub	-X-	_	B-PRODUCT
which	-X-	_	O
is	-X-	_	O
a	-X-	_	O
soaker	-X-	_	B-ATTRIBUTE
tub	-X-	_	B-PRODUCT
with	-X-	_	O
no	-X-	_	O
more	-X-	_	O
than	-X-	_	O
15"	-X-	_	B-N-SIZE
height.	-X-	_	I-N-SIZE
In	-X-	_	O
white.	-X-	_	B-COLOUR
			
just	-X-	_	O
need	-X-	_	O
glass	-X-	_	B-MATERIAL
doors	-X-	_	B-PRODUCT
no	-X-	_	O
end	-X-	_	B-N-PRODUCT
glass	-X-	_	I-N-PRODUCT
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
Chrome	-X-	_	B-MATERIAL
column-style	-X-	_	B-SHAPE
showerhead	-X-	_	B-PRODUCT
with	-X-	_	O
body	-X-	_	B-ATTRIBUTE
jets	-X-	_	I-ATTRIBUTE
and	-X-	_	O
rain	-X-	_	B-ATTRIBUTE
showerhead	-X-	_	I-ATTRIBUTE
			
i	-X-	_	O
live	-X-	_	O
in	-X-	_	O
__location__	-X-	_	O
and	-X-	_	O
i	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
an	-X-	_	O
acrylic	-X-	_	B-MATERIAL
(	-X-	_	O
preference	-X-	_	O
)	-X-	_	O
or	-X-	_	O
fibreglass	-X-	_	B-MATERIAL
shower	-X-	_	B-PRODUCT
base.	-X-	_	I-PRODUCT
I	-X-	_	O
need	-X-	_	O
a	-X-	_	O
50	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
wide	-X-	_	I-SIZE
by	-X-	_	O
34	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
deep	-X-	_	I-SIZE
with	-X-	_	O
a	-X-	_	O
5	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
single	-X-	_	B-ATTRIBUTE
threshold	-X-	_	I-ATTRIBUTE
			
Looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
tub/shower	-X-	_	B-PRODUCT
righthand	-X-	_	B-ATTRIBUTE
and	-X-	_	O
one	-X-	_	O
lefthand,	-X-	_	B-ATTRIBUTE
what	-X-	_	O
are	-X-	_	O
my	-X-	_	O
options?	-X-	_	O
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
freestanding	-X-	_	B-ATTRIBUTE
tub	-X-	_	B-PRODUCT
with	-X-	_	O
a	-X-	_	O
bathing	-X-	_	B-ATTRIBUTE
well	-X-	_	I-ATTRIBUTE
bottom	-X-	_	I-ATTRIBUTE
length	-X-	_	B-SIZE
of	-X-	_	I-SIZE
45	-X-	_	I-SIZE
inches	-X-	_	I-SIZE
minimum	-X-	_	O
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
round	-X-	_	B-SHAPE
shower	-X-	_	B-PRODUCT
around	-X-	_	O
73	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
high	-X-	_	I-SIZE
			
I'm	-X-	_	O
looking	-X-	_	O
to	-X-	_	O
buy	-X-	_	O
a	-X-	_	O
42"	-X-	_	B-SIZE
gazebo	-X-	_	B-PRODUCT
with	-X-	_	O
no	-X-	_	O
more	-X-	_	O
than	-X-	_	O
21"	-X-	_	B-N-SIZE
depth	-X-	_	I-N-SIZE
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
shelves	-X-	_	B-PRODUCT
that	-X-	_	O
mount	-X-	_	O
to	-X-	_	O
a	-X-	_	O
wall,	-X-	_	O
no	-X-	_	O
screw	-X-	_	B-N-ATTRIBUTE
30	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
			
__brand__	-X-	_	B-PRODUCT
bathtub	-X-	_	I-PRODUCT
58	-X-	_	B-SIZE
in.	-X-	_	I-SIZE
x	-X-	_	O
5	-X-	_	B-SIZE
in.	-X-	_	I-SIZE
4-Jet	-X-	_	B-ATTRIBUTE
High	-X-	_	I-ATTRIBUTE
Pressure	-X-	_	I-ATTRIBUTE
Shower	-X-	_	B-PRODUCT
Panel	-X-	_	I-PRODUCT
System	-X-	_	I-PRODUCT
with	-X-	_	O
Square	-X-	_	B-ATTRIBUTE
Rain	-X-	_	I-ATTRIBUTE
Shower	-X-	_	I-ATTRIBUTE
Head	-X-	_	I-ATTRIBUTE
and	-X-	_	O
Tub	-X-	_	B-ATTRIBUTE
Filler	-X-	_	I-ATTRIBUTE
in	-X-	_	O
Matte	-X-	_	B-TEXTURE
Black	-X-	_	B-COLOUR
Model	-X-	_	O
			
Yes,	-X-	_	O
I	-X-	_	O
bought	-X-	_	O
a	-X-	_	O
tub	-X-	_	B-PRODUCT
from	-X-	_	O
you,	-X-	_	O
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
adjustable	-X-	_	B-ATTRIBUTE
screw	-X-	_	B-PRODUCT
that	-X-	_	O
attaches	-X-	_	O
to	-X-	_	O
the	-X-	_	O
plug.	-X-	_	O
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
60	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
white	-X-	_	B-COLOUR
bathtub	-X-	_	B-PRODUCT
that	-X-	_	O
is	-X-	_	O
freestanding	-X-	_	B-ATTRIBUTE
and	-X-	_	O
reasonably	-X-	_	B-PRICE
priced	-X-	_	I-PRICE
			
i'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
unflavored	-X-	_	B-N-ATTRIBUTE
mass	-X-	_	B-PRODUCT
gainer	-X-	_	I-PRODUCT
protein	-X-	_	I-PRODUCT
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
a	-X-	_	O
wall	-X-	_	B-ATTRIBUTE
mount	-X-	_	I-ATTRIBUTE
sink	-X-	_	B-PRODUCT
without	-X-	_	O
a	-X-	_	O
faucet	-X-	_	B-N-ATTRIBUTE
hole	-X-	_	I-N-ATTRIBUTE
			
Just	-X-	_	O
shower	-X-	_	B-PRODUCT
base	-X-	_	I-PRODUCT
without	-X-	_	O
walls	-X-	_	B-N-ATTRIBUTE
			
I'm	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
shower	-X-	_	B-PRODUCT
unit,	-X-	_	I-PRODUCT
60"	-X-	_	B-SIZE
wide	-X-	_	I-SIZE
by	-X-	_	O
42"	-X-	_	B-SIZE
deep,	-X-	_	I-SIZE
with	-X-	_	O
no	-X-	_	O
seat	-X-	_	B-N-ATTRIBUTE
and	-X-	_	O
no	-X-	_	O
top	-X-	_	B-N-ATTRIBUTE
			
luggage	-X-	_	B-PRODUCT
without	-X-	_	O
wheels	-X-	_	B-N-ATTRIBUTE
			
I	-X-	_	O
found	-X-	_	O
a	-X-	_	O
vanity	-X-	_	B-PRODUCT
top	-X-	_	I-PRODUCT
I	-X-	_	O
love	-X-	_	O
but	-X-	_	O
it	-X-	_	O
has	-X-	_	O
only	-X-	_	O
one	-X-	_	B-N-ATTRIBUTE
hole	-X-	_	I-N-ATTRIBUTE
for	-X-	_	O
taps	-X-	_	B-ATTRIBUTE
and	-X-	_	O
that	-X-	_	O
doesn't	-X-	_	O
suit	-X-	_	O
our	-X-	_	O
needs	-X-	_	O
			
curbless	-X-	_	B-N-ATTRIBUTE
shower	-X-	_	B-PRODUCT
			
Walk	-X-	_	B-ATTRIBUTE
in	-X-	_	I-ATTRIBUTE
tubs	-X-	_	B-PRODUCT
for	-X-	_	O
seniors	-X-	_	B-ATTRIBUTE
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
shower	-X-	_	B-PRODUCT
door	-X-	_	I-PRODUCT
about	-X-	_	O
30	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
			
I	-X-	_	O
need	-X-	_	O
a	-X-	_	O
toilet	-X-	_	B-PRODUCT
that	-X-	_	O
is	-X-	_	O
only	-X-	_	O
28	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
high	-X-	_	I-SIZE
			
Hi,	-X-	_	O
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
bathroom	-X-	_	B-PRODUCT
LED	-X-	_	I-PRODUCT
mirrors	-X-	_	I-PRODUCT
that	-X-	_	O
are	-X-	_	O
24	-X-	_	B-SIZE
inch.	-X-	_	I-SIZE
That	-X-	_	O
are	-X-	_	O
hard	-X-	_	B-ATTRIBUTE
wired	-X-	_	I-ATTRIBUTE
and	-X-	_	O
can	-X-	_	O
be	-X-	_	O
turned	-X-	_	B-ATTRIBUTE
on	-X-	_	I-ATTRIBUTE
from	-X-	_	I-ATTRIBUTE
the	-X-	_	I-ATTRIBUTE
mirror	-X-	_	I-ATTRIBUTE
			
Denim	-X-	_	B-MATERIAL
skirts?	-X-	_	B-PRODUCT
			
touch	-X-	_	O
of	-X-	_	O
linen	-X-	_	B-MATERIAL
buttoned	-X-	_	B-ATTRIBUTE
skirt	-X-	_	B-PRODUCT
in	-X-	_	O
patterned	-X-	_	B-COLOUR
white	-X-	_	I-COLOUR
colour	-X-	_	I-COLOUR
			
Base	-X-	_	B-PRODUCT
cabinet	-X-	_	I-PRODUCT
42	-X-	_	B-SIZE
inches	-X-	_	I-SIZE
long	-X-	_	I-SIZE
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
the	-X-	_	O
sweater	-X-	_	B-PRODUCT
in	-X-	_	O
medium?	-X-	_	B-SIZE
			
Hi.	-X-	_	O
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
sheer	-X-	_	B-PRODUCT
curtains	-X-	_	I-PRODUCT
which	-X-	_	O
I	-X-	_	O
can	-X-	_	O
place	-X-	_	O
on	-X-	_	O
hooks	-X-	_	B-ATTRIBUTE
instead	-X-	_	O
of	-X-	_	O
a	-X-	_	O
rod	-X-	_	B-N-ATTRIBUTE
			
Looking	-X-	_	O
for	-X-	_	O
Grey	-X-	_	B-COLOUR
drapery	-X-	_	B-PRODUCT
panels	-X-	_	I-PRODUCT
10	-X-	_	B-SIZE
feet	-X-	_	I-SIZE
in	-X-	_	I-SIZE
length	-X-	_	I-SIZE
			
twik	-X-	_	O
white	-X-	_	B-COLOUR
sleeveless	-X-	_	B-N-ATTRIBUTE
button	-X-	_	B-ATTRIBUTE
closure	-X-	_	I-ATTRIBUTE
top	-X-	_	B-PRODUCT
			
Do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
waterproof	-X-	_	B-ATTRIBUTE
queen	-X-	_	B-SIZE
size	-X-	_	I-SIZE
mattress	-X-	_	B-PRODUCT
protectors	-X-	_	I-PRODUCT
for	-X-	_	O
over	-X-	_	O
18	-X-	_	B-SIZE
inch	-X-	_	I-SIZE
mattresses?	-X-	_	O
			
Looking	-X-	_	O
for	-X-	_	O
Mercerized	-X-	_	O
cotton	-X-	_	B-MATERIAL
high-performance	-X-	_	B-ATTRIBUTE
T-shirt	-X-	_	B-PRODUCT
in	-X-	_	O
size	-X-	_	B-SIZE
medium	-X-	_	I-SIZE
			
Are	-X-	_	O
the	-X-	_	O
round	-X-	_	B-ATTRIBUTE
velvet	-X-	_	B-MATERIAL
floor	-X-	_	B-PRODUCT
cushions	-X-	_	I-PRODUCT
available	-X-	_	O
in	-X-	_	O
store?	-X-	_	O
			
I	-X-	_	O
would	-X-	_	O
like	-X-	_	O
the	-X-	_	O
sweater	-X-	_	B-PRODUCT
as	-X-	_	O
well	-X-	_	O
as	-X-	_	O
the	-X-	_	O
icons	-X-	_	B-PRODUCT
pencil	-X-	_	I-PRODUCT
skirt	-X-	_	I-PRODUCT
in	-X-	_	O
green	-X-	_	B-COLOUR
			
Sleeveless	-X-	_	B-N-ATTRIBUTE
sweater	-X-	_	B-PRODUCT
			
Unflavored	-X-	_	B-N-ATTRIBUTE
unsweetened	-X-	_	B-N-ATTRIBUTE
			
do	-X-	_	O
you	-X-	_	O
have	-X-	_	O
the	-X-	_	O
stainless	-X-	_	B-MATERIAL
steel	-X-	_	I-MATERIAL
shaker	-X-	_	B-PRODUCT
cups	-X-	_	I-PRODUCT
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
flavor	-X-	_	B-PRODUCT
powders	-X-	_	I-PRODUCT
which	-X-	_	O
I	-X-	_	O
can	-X-	_	O
use	-X-	_	O
in	-X-	_	O
yoghurts	-X-	_	O
for	-X-	_	O
example	-X-	_	O
			
Hi,	-X-	_	O
do	-X-	_	O
you	-X-	_	O
sell	-X-	_	O
fingerless	-X-	_	B-N-ATTRIBUTE
gloves	-X-	_	B-PRODUCT
please	-X-	_	O
			
Need	-X-	_	O
an	-X-	_	O
inexpensive	-X-	_	B-PRICE
thermostatic	-X-	_	B-PRODUCT
shower	-X-	_	I-PRODUCT
set	-X-	_	I-PRODUCT
with	-X-	_	O
an	-X-	_	O
extra	-X-	_	B-ATTRIBUTE
outlet	-X-	_	I-ATTRIBUTE
for	-X-	_	O
bidet.	-X-	_	O
Can	-X-	_	O
you	-X-	_	O
suggest	-X-	_	O
a	-X-	_	O
couple.	-X-	_	O
			
hi,	-X-	_	O
can	-X-	_	O
I	-X-	_	O
put	-X-	_	O
a	-X-	_	O
tankless	-X-	_	B-N-ATTRIBUTE
toilet	-X-	_	B-PRODUCT
into	-X-	_	O
a	-X-	_	O
2"x	-X-	_	B-SIZE
4"	-X-	_	B-SIZE
wall?	-X-	_	O
			
I	-X-	_	O
am	-X-	_	O
looking	-X-	_	O
for	-X-	_	O
a	-X-	_	O
left	-X-	_	B-ATTRIBUTE
offset	-X-	_	I-ATTRIBUTE
vanity	-X-	_	B-PRODUCT
set	-X-	_	I-PRODUCT
